City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Weather
236,Maragogi,BR,2022-01-27 01:23:40,-9.0122,-35.2225,77.9,83,5,8.37,clear sky
237,Santa Helena,BR,2022-01-27 01:23:41,-2.2311,-45.3,73.09,98,100,2.66,heavy intensity rain
238,Rassvet,RU,2022-01-27 01:23:42,46.8333,40.75,27.91,99,99,7.38,overcast clouds
239,Pokrovsk,UA,2022-01-27 01:23:43,48.282,37.1758,9.95,99,86,2.21,overcast clouds
240,Pacific Grove,US,2022-01-27 01:23:43,36.6177,-121.9166,63.0,80,0,3.0,clear sky
241,Svetlogorsk,BY,2022-01-27 01:23:44,52.6333,29.7333,16.48,97,100,5.95,overcast clouds
242,Maniitsoq,GL,2022-01-27 01:23:45,65.4167,-52.9,16.47,93,100,9.66,snow
243,Lagunas,PE,2022-01-27 01:23:46,-5.2269,-75.6753,75.11,87,23,1.07,few clouds
244,Hokitika,NZ,2022-01-27 01:23:47,-42.7167,170.9667,65.23,49,0,9.48,clear sky
245,Mari-Turek,RU,2022-01-27 01:23:48,56.7895,49.6235,2.86,97,99,5.64,overcast clouds
246,Erenhot,CN,2022-01-27 01:23:48,43.6475,111.9767,1.58,86,5,6.69,clear sky
247,Buturlino,RU,2022-01-27 01:23:49,55.5667,44.8974,3.54,98,96,4.74,overcast clouds
248,Henties Bay,NA,2022-01-27 01:23:51,-22.116,14.2845,66.85,87,100,6.22,overcast clouds
249,Zhezkazgan,KZ,2022-01-27 01:23:52,47.8043,67.7144,-2.22,78,40,4.47,scattered clouds
250,Teya,RU,2022-01-27 01:23:52,60.3778,92.6267,-19.91,100,34,1.97,scattered clouds
251,Salalah,OM,2022-01-27 01:23:53,17.0151,54.0924,66.29,72,0,3.44,clear sky
252,Norman Wells,CA,2022-01-27 01:23:54,65.282,-126.8329,8.64,85,75,2.3,broken clouds
253,Selje,NO,2022-01-27 01:23:55,62.0459,5.351,46.26,95,100,14.97,moderate rain
254,Doha,QA,2022-01-27 01:22:03,25.2867,51.5333,64.29,94,0,2.3,clear sky
255,Saint-Augustin,CA,2022-01-27 01:23:57,51.226,-58.6502,-6.97,83,2,10.78,clear sky
256,Puerto Leguizamo,CO,2022-01-27 01:23:58,-0.1934,-74.7819,72.93,98,100,2.04,overcast clouds
257,Aswan,EG,2022-01-27 01:23:59,24.0934,32.907,45.7,45,0,8.05,clear sky
258,Salamiyah,SY,2022-01-27 01:24:00,35.0113,37.0532,37.26,96,100,12.26,overcast clouds
259,Dali,CN,2022-01-27 01:24:01,25.7,100.1833,43.0,84,96,3.4,overcast clouds
