City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
162,Bambous Virieux,MU,2022-01-24 00:13:34,-20.3428,57.7575,78.22,78,51,7.9
163,Ayan,RU,2022-01-24 00:13:35,56.45,138.1667,4.89,65,49,12.39
164,Kruisfontein,ZA,2022-01-24 00:13:35,-34.0033,24.7314,75.83,23,0,9.17
165,Port Elizabeth,ZA,2022-01-24 00:11:47,-33.918,25.5701,73.27,66,0,2.1
166,Lucapa,AO,2022-01-24 00:13:36,-8.4192,20.7447,63.48,97,65,1.97
167,Muros,ES,2022-01-24 00:13:37,42.7762,-9.0603,46.24,93,0,3.91
168,Airai,TL,2022-01-24 00:13:37,-8.9266,125.4092,68.99,72,100,2.48
169,Oskarshamn,SE,2022-01-24 00:13:38,57.2645,16.4484,40.98,95,78,7.92
170,Itarema,BR,2022-01-24 00:13:38,-2.9248,-39.9167,79.11,71,21,13.78
171,La Ronge,CA,2022-01-24 00:13:38,55.1001,-105.2842,-4.13,98,96,5.39
172,San Vicente,AR,2022-01-24 00:13:39,-26.6167,-54.1333,77.36,65,95,4.43
173,Mercedes,AR,2022-01-24 00:13:39,-34.6515,-59.4307,77.18,72,99,5.53
174,Hobyo,SO,2022-01-24 00:13:40,5.3505,48.5268,76.37,71,97,17.47
175,Adrar,MR,2022-01-24 00:13:40,20.5022,-10.0711,65.41,17,33,10.74
176,Waynesville,US,2022-01-24 00:13:41,35.4887,-82.9887,38.48,57,36,8.99
177,Bilma,NE,2022-01-24 00:13:19,18.6853,12.9164,57.76,22,84,13.38
178,Esperance,AU,2022-01-24 00:13:42,-33.8667,121.9,66.83,81,80,13.6
179,Puerto Ayacucho,VE,2022-01-24 00:13:43,5.6639,-67.6236,80.62,66,92,5.3
180,Gayeri,BF,2022-01-24 00:13:43,12.6497,0.4931,67.33,14,0,8.72
181,Panjab,AF,2022-01-24 00:13:44,34.388,67.0233,-15.7,76,15,5.82
182,Mar Del Plata,AR,2022-01-24 00:10:59,-38.0023,-57.5575,71.01,89,95,4.0
183,Deputatskiy,RU,2022-01-24 00:14:44,69.3,139.9,-21.44,98,100,5.08
184,Quang Ngai,VN,2022-01-24 00:14:45,15.1167,108.8,71.19,93,21,4.41
185,Baykalovo,RU,2022-01-24 00:14:46,57.3981,63.7684,8.22,92,100,6.69
186,Ribeira Grande,PT,2022-01-24 00:14:46,38.5167,-28.7,59.94,64,8,5.61
187,Ruse,BG,2022-01-24 00:14:47,43.8564,25.9708,27.45,71,96,12.62
188,Dickinson,US,2022-01-24 00:14:47,29.4608,-95.0513,57.29,57,75,1.01
189,Busselton,AU,2022-01-24 00:14:48,-33.65,115.3333,70.05,69,24,16.75
190,Muzhi,RU,2022-01-24 00:14:48,65.3667,64.6667,-7.67,100,84,5.17
191,Bathsheba,BB,2022-01-24 00:14:49,13.2167,-59.5167,77.61,73,20,16.11
192,Ambilobe,MG,2022-01-24 00:14:49,-13.2,49.05,73.56,96,100,5.73
193,Severo-Kurilsk,RU,2022-01-24 00:10:33,50.6789,156.125,26.83,74,99,11.16
194,Samarai,PG,2022-01-24 00:14:50,-10.6167,150.6667,85.46,70,64,11.97
195,Cidreira,BR,2022-01-24 00:14:51,-30.1811,-50.2056,77.05,89,69,9.84
196,Sao Joao Da Barra,BR,2022-01-24 00:14:51,-21.6403,-41.0511,76.14,82,21,13.47
197,Mastic Beach,US,2022-01-24 00:14:52,40.7668,-72.8521,35.64,66,100,4.0
198,Copiapo,CL,2022-01-24 00:14:52,-27.3667,-70.3333,70.27,53,51,5.41
199,Tautira,PF,2022-01-24 00:14:53,-17.7333,-149.15,86.02,78,89,14.58
200,Christchurch,NZ,2022-01-24 00:14:04,-43.5333,172.6333,60.94,87,90,1.99
201,Jhelum,PK,2022-01-24 00:14:53,32.9331,73.7264,49.96,88,96,3.91
202,Lethem,GY,2022-01-24 00:14:54,3.3803,-59.7968,84.27,53,91,11.61
203,Manado,ID,2022-01-24 00:14:55,1.487,124.8455,81.37,78,20,2.3
204,Constitucion,CL,2022-01-24 00:12:36,-35.3333,-72.4167,60.64,79,0,16.84
205,Hithadhoo,MV,2022-01-24 00:14:56,-0.6,73.0833,82.33,66,75,15.43
206,Bengkulu,ID,2022-01-24 00:14:56,-3.8004,102.2655,75.87,88,76,3.69
207,Shelburne,CA,2022-01-24 00:14:57,44.0787,-80.2041,7.25,80,71,5.08
208,Muisne,EC,2022-01-24 00:14:58,0.6,-80.0333,76.8,87,83,6.15
209,Martapura,ID,2022-01-24 00:14:58,-3.4167,114.85,80.69,94,20,5.75
210,Bay Roberts,CA,2022-01-24 00:14:59,47.5999,-53.2648,27.52,82,56,5.99
211,Migori,KE,2022-01-24 00:14:59,-1.0634,34.4731,65.12,79,100,4.36
212,Kavaratti,IN,2022-01-24 00:14:59,10.5669,72.642,79.57,64,15,10.8
213,Abonnema,NG,2022-01-24 00:15:00,4.7084,6.7931,79.23,80,5,4.81
214,Atlantis,ZA,2022-01-24 00:15:00,-33.5667,18.4834,67.35,91,10,0.83
215,Geraldton,AU,2022-01-24 00:13:05,-28.7667,114.6,77.41,69,40,21.85
216,Lebu,CL,2022-01-24 00:15:01,-37.6167,-73.65,60.89,85,0,8.93
217,Sistranda,NO,2022-01-24 00:15:02,63.7256,8.834,47.89,70,100,45.43
218,Wegrow,PL,2022-01-24 00:15:02,52.3995,22.0163,26.55,94,20,4.61
219,Hay River,CA,2022-01-24 00:15:03,60.8156,-115.7999,-7.62,84,75,4.61
220,Leshukonskoye,RU,2022-01-24 00:15:03,64.8989,45.7622,13.35,93,100,9.93
221,Marau,BR,2022-01-24 00:12:57,-28.4492,-52.2,70.52,91,85,5.37
222,Tambacounda,SN,2022-01-24 00:15:04,13.7539,-13.7586,73.45,25,0,6.91
223,Vardo,NO,2022-01-24 00:11:56,70.3705,31.1107,41.2,80,100,42.46
224,Chake Chake,TZ,2022-01-24 00:15:05,-5.2459,39.7666,78.96,74,100,11.01
225,Noumea,NC,2022-01-24 00:13:43,-22.2763,166.4572,84.18,99,39,6.64
226,Pevek,RU,2022-01-24 00:16:06,69.7008,170.3133,-9.67,96,100,18.34
227,Loralai,PK,2022-01-24 00:16:07,30.3705,68.598,34.07,53,0,6.15
228,Travesia,HN,2022-01-24 00:16:07,15.8667,-87.9,79.09,83,20,6.53
229,Saldanha,ZA,2022-01-24 00:16:08,-33.0117,17.9442,65.79,95,77,9.93
230,Anadyr,RU,2022-01-24 00:16:08,64.75,177.4833,-14.01,75,20,6.71
231,Richards Bay,ZA,2022-01-24 00:14:22,-28.783,32.0377,67.71,87,12,5.3
232,Tuktoyaktuk,CA,2022-01-24 00:11:44,69.4541,-133.0374,4.42,96,100,7.11
233,Saskylakh,RU,2022-01-24 00:16:09,71.9167,114.0833,-18.76,100,97,4.25
234,Torbay,CA,2022-01-24 00:16:10,47.6666,-52.7314,26.76,90,100,16.11
235,Axim,GH,2022-01-24 00:16:10,4.8699,-2.2405,78.15,87,5,5.35
236,Talara,PE,2022-01-24 00:16:11,-4.5772,-81.2719,71.58,83,64,14.34
237,Tamiami,US,2022-01-24 00:16:11,25.7587,-80.3984,59.0,87,75,8.05
238,Socorro,US,2022-01-24 00:16:12,31.6546,-106.3033,52.81,38,40,6.91
239,Byron Bay,AU,2022-01-24 00:14:54,-28.65,153.6167,82.06,70,41,12.82
240,Lingyuan,CN,2022-01-24 00:16:13,41.24,119.4011,15.93,45,100,1.36
241,Clarksburg,US,2022-01-24 00:16:13,39.2807,-80.3445,33.8,89,100,9.22
242,Braesti,RO,2022-01-24 00:16:14,47.15,27.1,23.97,92,100,13.87
243,Eyl,SO,2022-01-24 00:16:14,7.9803,49.8164,72.19,74,65,14.16
